,name
0,"""Coelosaurus"" antiquus"
1,Aachenosaurus
2,Aardonyx
3,Abdarainurus
4,Abditosaurus
5,Abelisaurus
6,Abrictosaurus
7,Abrosaurus
8,Abydosaurus
9,Acantholipan
10,Acanthopholis
11,Achelousaurus
12,Acheroraptor
13,Achillesaurus
14,Achillobator
15,Acristavus
16,Acrocanthosaurus
17,Acrotholus
18,Actiosaurus
19,Adamantisaurus
20,Adasaurus
21,Adelolophus
22,Adeopapposaurus
23,Adratiklit
24,Adynomosaurus
25,Aegyptosaurus
26,Aeolosaurus
27,Aepisaurus
28,Aepyornithomimus
29,Aerosteon
30,Afromimus
31,Afrovenator
32,Agathaumas
33,Aggiosaurus
34,Agilisaurus
35,Agnosphitys
36,Agrosaurus
37,Agujaceratops
38,Agustinia
39,Ahshislepelta
40,Ajkaceratops
41,Ajnabia
42,Akainacephalus
43,Alamosaurus
44,Alaskacephale
45,Albalophosaurus
46,Albertaceratops
47,Albertadromeus
48,Albertavenator
49,Albertonykus
50,Albertosaurus
51,Albinykus
52,Albisaurus
53,Alcovasaurus
54,Alectrosaurus
55,Aletopelta
56,Algoasaurus
57,Alioramus
58,Allosaurus
59,Almas ukhaa
60,Alnashetri
61,Alocodon
62,Altirhinus
63,Altispinax
64,Alvarezsaurus
65,Alwalkeria
66,Alxasaurus
67,Amanzia
68,Amargasaurus
69,Amargatitanis
70,Amazonsaurus
71,Ambopteryx
72,Ampelosaurus
73,Amphicoelias
74,Amtocephale
75,Amtosaurus
76,Amurosaurus
77,Amygdalodon
78,Anabisetia
79,Analong
80,Anasazisaurus
81,Anchiceratops
82,Anchiornis
83,Anchisaurus
84,Andesaurus
85,Angolatitan
86,Angulomastacator
87,Anhuilong
88,Aniksosaurus
89,Animantarx
90,Ankistrodon
91,Ankylosauria
92,Ankylosaurus
93,Anodontosaurus
94,Anomalipes
95,Anoplosaurus
96,Anserimimus
97,Antarctopelta
98,Antarctosaurus
99,Antetonitrus
100,Antrodemus
101,Anzu wyliei
102,Aoniraptor
103,Aorun
104,Apatodon
105,Apatoraptor
106,Apatosaurus
107,Appalachiosaurus
108,Aquilarhinus
109,Aquilops
110,Arackar
111,Aragosaurus
112,Aralosaurus
113,Aratasaurus
114,Archaeoceratops
115,Archaeodontosaurus
116,Archaeopteryx
117,Archaeoraptor
118,Archaeornithoides
119,Archaeornithomimus
120,Archosaur
121,Arcovenator
122,Arctosaurus
123,Arcusaurus
124,Arenysaurus
125,Argentinosaurus
126,Argyrosaurus
127,Aristosuchus
128,Arizonasaurus
129,Arkansaurus
130,Arkharavia
